source,target,value
Other cities,Platanaceae,87
Other cities,Pinaceae,188
Other cities,Cupressaceae,203
Other cities,Altingiaceae,1
Other cities,Other species,35
Other cities,Sapindaceae,119
Other cities,Rosaceae,40
Other cities,Fagaceae,194
Other cities,Fabaceae,35
Other cities,Ulmaceae,21
Other cities,Platanaceae,62
Other cities,Pinaceae,4
Other cities,Malvaceae,78
Other cities,Cupressaceae,170
Other cities,Magnoliaceae,8
Other cities,Altingiaceae,10
Other cities,Other species,33
Other cities,Sapindaceae,4
Other cities,Fagaceae,24
Other cities,Fabaceae,18
Other cities,Pinaceae,46
Other cities,Lythraceae,8
Other cities,Arecaceae,196
Other cities,Malvaceae,12
Other cities,Myrtaceae,62
Other cities,Cupressaceae,5
Other cities,Magnoliaceae,1
Other cities,Other species,355
Other cities,Rosaceae,5
Other cities,Fagaceae,1
Other cities,Fabaceae,40
Other cities,Oleaceae,36
Other cities,Ulmaceae,5
Other cities,Pinaceae,11
Other cities,Arecaceae,24
Other cities,Malvaceae,2
Other cities,Myrtaceae,5
Other cities,Cupressaceae,1
Other cities,Other species,84
